Book_Available,Book_Category,Book_First_Link,Book_Price,Book_Stars,Book_Title,Book_total_category_amouth
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,45.17,2,It's Only the Himalayas,11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,49.43,4,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,48.87,3,See America: A Celebration of Our National Parks & Treasured Sites,11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,36.94,2,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,37.33,3,Under the Tuscan Sun,11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,44.34,2,A Summer In Europe,11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,30.54,1,The Great Railway Bazaar,11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,56.88,4,A Year in Provence (Provence #1),11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,23.21,1,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,38.95,3,Neither Here nor There: Travels in Europe,11
True,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,26.08,5,"1,000 Places to See Before You Die",11
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,47.82,4,Sharp Objects,32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,19.63,1,"In a Dark, Dark Wood",32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,56.5,4,The Past Never Ends,32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,16.64,1,A Murder in Time,32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,44.1,4,The Murder of Roger Ackroyd (Hercule Poirot #4),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,54.21,2,The Last Mile (Amos Decker #2),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,13.92,1,That Darkness (Gardiner and Renner #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,10.69,1,Tastes Like Fear (DI Marnie Rome #3),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,48.35,5,A Time of Torment (Charlie Parker #14),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,16.73,2,A Study in Scarlet (Sherlock Holmes #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,26.8,3,Poisonous (Max Revere Novels #3),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,54.36,4,Murder at the 42nd Street Library (Raymond Ambler #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,35.28,3,Most Wanted,32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,11.84,1,Hide Away (Eve Duncan #20),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,59.48,3,Boar Island (Anna Pigeon #19),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,27.26,2,The Widow,32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,13.71,3,Playing with Fire,32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,25.37,5,What Happened on Beale Street (Secrets of the South Mysteries #2),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,52.3,5,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,20.89,4,Delivering the Truth (Quaker Midwife Mystery #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,24.8,4,The Mysterious Affair at Styles (Hercule Poirot #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,38.38,2,In the Woods (Dublin Murder Squad #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,23.05,5,The Silkworm (Cormoran Strike #2),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,43.45,3,The Exiled,32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,19.21,1,The Cuckoo's Calling (Cormoran Strike #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,25.4,3,Extreme Prey (Lucas Davenport #26),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,24.72,2,Career of Evil (Cormoran Strike #3),32
